전철역명,X좌표(WGS),Y좌표(WGS),PM-10
가락시장,37.492521999999994,127.11823400000002,81
종로3가,37.571607,126.99180600000001,84
오금,37.502162,127.128111,85.8
동대문,37.57142,127.009745,93.2
동대문역사문화공원,37.565138,127.007896,95.1
충무로,37.561243,126.99428,86.63333333333333
신도림,37.508725,126.891295,78.7
이촌,37.522271999999994,126.974345,84.15
왕십리,37.561533000000004,127.037732,84.6
시청,37.564718,126.977108,96.3
교대,37.493415,127.01408,93.8
신설동,37.575297,127.02508700000001,95.7
까치산,37.531768,126.84668300000001,69.1
을지로3가,37.566295000000004,126.99191,93.4
홍대입구,37.557192,126.925381,86.3
상봉,37.596362,127.08503200000001,85
영등포구청,37.52497,126.895951,87.7
신길,37.517122,126.917169,82.9
을지로4가,37.566941,126.998079,83.7
합정,37.549463,126.91373899999999,87.4
공덕,37.544018,126.95159199999999,92
삼각지,37.534777000000005,126.97311,89.6
약수,37.55434,127.010655,78.2
신당,37.565971999999995,127.01782,89.8
동묘앞,37.572627000000004,127.016429,78.7
석계,37.614805,127.065851,85.3
불광,37.610469,126.92988700000001,86.7
연신내,37.619001000000004,126.921008,87.9
디지털미디어시티,37.576646000000004,126.90098400000001,90.1
선정릉,37.510979999999996,127.04359299999999,88.6
종합운동장,37.510996999999996,127.07364199999999,86.6
천호,37.538396999999996,127.123572,86.2
사당,37.47653,126.98168500000001,92
노원,37.655128000000005,127.06136799999999,82.6
군자,37.557121,127.07954199999999,84.1
건대입구,37.540693,127.07023000000001,76.3
고속터미널,37.50481,127.004943,89.9
대림,37.49297,126.895801,94.4
가산디지털단지,37.481072,126.88234299999999,86.2
온수,37.492258,126.823388,76.8
부평구청,37.508336,126.720548,82.1
잠실,37.51395,127.10223400000001,81.5
복정,37.470046999999994,127.12666200000001,88.8
모란,37.43213,127.12908700000001,85.8
여의도,37.521623999999996,126.924191,73.7
김포공항,37.562434,126.80105800000001,78.5
강남,37.497175,127.02792600000001,86.7
양재,37.484147,127.034631,78.9
강남구청,37.517185999999995,127.04128,80.7
선릉,37.504503,127.049008,87.1
효창공원앞,37.539260999999996,126.96135100000001,60.5
태릉입구,37.617983,127.07512,92.3
청량리,37.580178000000004,127.04683500000002,84.9
충정로,37.559973,126.963672,86
청구,37.560245,127.013828,78.4
성신여대입구,37.592624,127.016403,71.80000000000001
보문,37.585285999999996,127.01938100000001,92.4
도곡,37.490858,127.05538100000001,107.96666666666668
수서,37.487371,127.10188000000001,83.6
종각,37.570161,126.982923,93
종로5가,37.570926,127.00184899999999,92.6
제기동,37.578103000000006,127.034893,98
을지로입구,37.566014,126.98261799999999,84.1
홍제,37.589065999999995,126.94373600000002,92.9
경찰병원,37.495917999999996,127.12454,75
영등포시장,37.522669,126.90513899999999,73.1
상일동,37.556712,127.166417,69.4
공릉,37.625741999999995,127.072896,86.3
상도,37.502834,126.94791000000001,79.4
상왕십리,37.564353999999994,127.029354,99.6
잠실새내,37.511687,127.08616200000002,84.4
삼성,37.508844,127.06316000000001,74.3
역삼,37.500622,127.036456,87.8
서초,37.491896999999994,127.00791699999999,87.2
방배,37.481426,126.997596,78.7
낙성대,37.476929999999996,126.96369299999999,85.6
서울대입구,37.481246999999996,126.952739,72.6
봉천,37.482362,126.941892,85
신림,37.484201,126.92971499999999,86
문래,37.517933,126.89476,87.7
